source_id,label,data_item,isBasedOnUrl
133,br;pb:tse:candidatos:2004,consulta_cand_2004_PB.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
134,br;pe:tse:candidatos:2004,consulta_cand_2004_PE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
135,br;pi:tse:candidatos:2004,consulta_cand_2004_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
136,br;pr:tse:candidatos:2004,consulta_cand_2004_PR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
137,br;rj:tse:candidatos:2004,consulta_cand_2004_RJ.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
138,br;rn:tse:candidatos:2004,consulta_cand_2004_RN.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
139,br;ro:tse:candidatos:2004,consulta_cand_2004_RO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
140,br;rr:tse:candidatos:2004,consulta_cand_2004_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
141,br;rs:tse:candidatos:2004,consulta_cand_2004_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
142,br;sc:tse:candidatos:2004,consulta_cand_2004_SC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
143,br;se:tse:candidatos:2004,consulta_cand_2004_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
144,br;sp:tse:candidatos:2004,consulta_cand_2004_SP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
145,br;to:tse:candidatos:2004,consulta_cand_2004_TO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
146,br;ac:tse:candidatos:2006,consulta_cand_2006_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
147,br;al:tse:candidatos:2006,consulta_cand_2006_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
148,br;am:tse:candidatos:2006,consulta_cand_2006_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
149,br;ap:tse:candidatos:2006,consulta_cand_2006_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
150,br;ba:tse:candidatos:2006,consulta_cand_2006_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
151,br;br:tse:candidatos:2006,consulta_cand_2006_BR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
152,br;ce:tse:candidatos:2006,consulta_cand_2006_CE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
153,br;df:tse:candidatos:2006,consulta_cand_2006_DF.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
154,br;es:tse:candidatos:2006,consulta_cand_2006_ES.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
155,br;go:tse:candidatos:2006,consulta_cand_2006_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
156,br;ma:tse:candidatos:2006,consulta_cand_2006_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
157,br;mg:tse:candidatos:2006,consulta_cand_2006_MG.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
158,br;ms:tse:candidatos:2006,consulta_cand_2006_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
159,br;mt:tse:candidatos:2006,consulta_cand_2006_MT.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
160,br;pa:tse:candidatos:2006,consulta_cand_2006_PA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
161,br;pb:tse:candidatos:2006,consulta_cand_2006_PB.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
162,br;pe:tse:candidatos:2006,consulta_cand_2006_PE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
163,br;pi:tse:candidatos:2006,consulta_cand_2006_PI.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
164,br;pr:tse:candidatos:2006,consulta_cand_2006_PR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
165,br;rj:tse:candidatos:2006,consulta_cand_2006_RJ.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
166,br;rn:tse:candidatos:2006,consulta_cand_2006_RN.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
167,br;ro:tse:candidatos:2006,consulta_cand_2006_RO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
168,br;rr:tse:candidatos:2006,consulta_cand_2006_RR.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
169,br;rs:tse:candidatos:2006,consulta_cand_2006_RS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
170,br;sc:tse:candidatos:2006,consulta_cand_2006_SC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
171,br;se:tse:candidatos:2006,consulta_cand_2006_SE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
172,br;sp:tse:candidatos:2006,consulta_cand_2006_SP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
173,br;to:tse:candidatos:2006,consulta_cand_2006_TO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
174,br;ac:tse:candidatos:2008,consulta_cand_2008_AC.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
175,br;al:tse:candidatos:2008,consulta_cand_2008_AL.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
176,br;am:tse:candidatos:2008,consulta_cand_2008_AM.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
177,br;ap:tse:candidatos:2008,consulta_cand_2008_AP.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
178,br;ba:tse:candidatos:2008,consulta_cand_2008_BA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
179,br;ce:tse:candidatos:2008,consulta_cand_2008_CE.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
180,br;es:tse:candidatos:2008,consulta_cand_2008_ES.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
181,br;go:tse:candidatos:2008,consulta_cand_2008_GO.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
182,br;ma:tse:candidatos:2008,consulta_cand_2008_MA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
183,br;mg:tse:candidatos:2008,consulta_cand_2008_MG.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
184,br;ms:tse:candidatos:2008,consulta_cand_2008_MS.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
185,br;mt:tse:candidatos:2008,consulta_cand_2008_MT.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
186,br;pa:tse:candidatos:2008,consulta_cand_2008_PA.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
187,br;pb:tse:candidatos:2008,consulta_cand_2008_PB.txt,http://www.tse.jus.br/eleicoes/estatisticas/repositorio-de-dados-eleitorais
